session_id,notification_response_minutes,opening_trigger,background_usage_score,exit_behavior
0,1.276657207707344,notification,0.6333434597162871,distracted
1,7.5586318121702085,social,0.24054756199675248,distracted
2,0.8038716781499583,notification,0.5975403694796084,distracted
3,0.26406135624502974,social,0.013358344007781783,distracted
4,2.8170300440453047,habit,0.25117261049244644,distracted
5,2.1496798586411567,notification,0.13902652110392005,distracted
6,1.0747175109427145,notification,0.435574075817074,distracted
7,1.6396139968491439,notification,0.20759999685495928,intentional
8,18.06876975407923,habit,0.12103927782424348,forced
9,0.48582140633801585,notification,0.3030314207320364,distracted
10,0.8003963090087626,notification,0.5874774908461956,forced
11,9.439213813136563,habit,0.2003386031770449,forced
12,5.894246904658543,notification,0.673396089515649,distracted
13,3.2477665013460526,boredom,0.23265322312279738,distracted
14,0.2663602983517904,social,0.13731754241032781,distracted
15,2.9133572841993747,news_check,0.16195781063444514,distracted
16,33.902363764864475,habit,0.20755620733794486,intentional
17,4.85120481541127,notification,0.23761993296373143,distracted
18,3.719881351395172,habit,0.11425854131256266,distracted
19,11.280221966499521,news_check,0.25775443851806523,distracted
20,2.615243502241529,boredom,0.15348475359682168,distracted
21,13.2459177660553,boredom,0.5344902504364626,intentional
22,0.6245642484556264,notification,0.24671711575494987,forced
23,3.711862547771354,social,0.027508296708973277,distracted
24,2.819714618670211,boredom,0.01550475584623963,distracted
25,0.9081234819817884,habit,0.18002586179749705,forced
26,8.860392289914273,notification,0.15901030023604548,forced
27,0.8598847705281741,social,0.22635710129289327,distracted
28,22.158189893406924,boredom,0.31119881243761605,distracted
29,2.0445549998143195,news_check,0.35803343138883154,distracted
30,0.4517407687458419,habit,0.12513892329997248,distracted
31,9.410229171824295,boredom,0.37656211718996163,distracted
32,7.38845598707134,social,0.2684198837091736,forced
33,0.5249875201275435,notification,0.3969049079286319,intentional
34,1.3526978617981869,social,0.4199300977173805,intentional
35,1.4586235090808057,boredom,0.14058076518454032,distracted
36,3.0409377965036875,boredom,0.11943460617148693,forced
37,17.556675862778196,notification,0.33424360752989557,distracted
38,18.274852020488233,habit,0.09729765131298158,intentional
39,14.53431997435658,social,0.21053586359066545,intentional
40,10.433630715113713,notification,0.03094010666036136,forced
41,2.049802768443688,habit,0.7692718401554919,intentional
42,0.1,social,0.3547162175401499,distracted
43,1.1051090924675857,boredom,0.2164588391868029,distracted
44,19.78556896359102,notification,0.11423615880606211,distracted
45,11.437573966200533,notification,0.5996604581666948,intentional
46,36.00879342272451,habit,0.22959087814537876,distracted
47,0.1,social,0.2931390889126169,distracted
48,7.4612814715035105,boredom,0.39907796647595456,distracted
49,13.222936822208865,boredom,0.07785090826983182,intentional
50,5.359980590229906,social,0.30733326756385626,distracted
51,3.485915665631258,boredom,0.8213617156744928,distracted
52,2.4100006545580346,notification,0.23651991241870354,forced
53,2.1485814268421994,habit,0.07244072120840475,distracted
54,88.65818742038695,news_check,0.24833808101263238,intentional
55,3.610999885710486,boredom,0.1467313723837347,intentional
56,0.5606807390508539,social,0.7124751865835055,distracted
57,0.21972846979964966,social,0.14127831660540238,distracted
58,0.2594638194529261,notification,0.24583712212990133,intentional
59,34.256671358493655,news_check,0.3750774243439852,intentional
60,0.28666835013369074,habit,0.16825013682154688,forced
61,6.40543570225286,notification,0.06951534245551622,intentional
62,3.3324604214235642,boredom,0.6093405851380552,intentional
63,4.34901839458457,social,0.6238334243908411,forced
64,0.11062588037179535,habit,0.36237691365894087,forced
65,0.9544820511532539,notification,0.12200520739671233,intentional
66,0.7775722999388456,habit,0.1839348977064571,intentional
67,0.24037012460642346,habit,0.5203886973484592,intentional
68,4.164404502942606,notification,0.3633681377820578,forced
69,6.772410686919426,social,0.1739788085021204,intentional
70,0.7567168826403418,news_check,0.31754455698927914,distracted
71,0.2870979572697168,news_check,0.20131937859961302,distracted
72,9.718862619562199,notification,0.22381109309977276,intentional
73,2.8037051903459322,boredom,0.5089622609309903,intentional
74,4.53601650525906,social,0.5120954037188642,intentional
75,7.035137562445206,notification,0.0625130415591146,forced
76,0.3741332468344038,boredom,0.2589491716398259,distracted
77,0.589657812749021,boredom,0.19179507387966438,intentional
78,8.778039505382594,social,0.1978781025009782,intentional
79,0.8450005693223296,boredom,0.23795560747609687,forced
80,0.9119685393208915,boredom,0.772547422875988,distracted
81,0.1,boredom,0.5696515197999835,distracted
82,8.095857522856956,notification,0.069396705215969,distracted
83,7.523620375168649,news_check,0.6766682752567178,distracted
84,1.2914247512543058,notification,0.3996649540116328,distracted
85,5.490562232484565,boredom,0.6717112991804965,intentional
86,1.8140628235280853,social,0.13082506007562603,distracted
87,0.3903886213281272,news_check,0.17006084939209867,distracted
88,2.7160459949906435,notification,0.11770266857975295,intentional
89,4.700626532038262,notification,0.32172606467910325,forced
90,1.1270944202368245,notification,0.18147319789576213,distracted
91,13.143832636475357,habit,0.27572401707996314,distracted
92,1.0794465462342009,notification,0.2605920690024915,distracted
93,27.53443091648119,notification,0.48042198741803266,distracted
94,24.012369244856632,notification,0.29948563515807874,intentional
95,3.1063089935135006,boredom,0.3709607700017734,intentional
96,10.235282770385721,boredom,0.8684713459464731,forced
97,0.46555104053515,habit,0.2978662388497699,distracted
98,6.181395375124713,social,0.36661090654156697,intentional
99,1.290737308190982,habit,0.11217468601204396,distracted
100,6.513716485020351,notification,0.4743183895760677,intentional
101,1.5450143183512877,habit,0.3201595776021239,distracted
102,1.2951305585115076,boredom,0.3719531968109816,intentional
103,1.8710492397892078,boredom,0.24193297596458424,intentional
104,15.9326830173778,social,0.41196680938141517,distracted
105,1.0953453584790307,habit,0.5862079823404557,forced
106,4.434453123386791,social,0.5222511273283749,distracted
107,0.6316287900097568,boredom,0.36981675997787306,forced
108,1.2143722857363421,news_check,0.23960079060427394,distracted
109,0.25982278258418695,notification,0.22779167533063235,distracted
110,0.6622361241765699,social,0.3008564327407736,distracted
111,2.8559545243011457,notification,0.126292450396895,distracted
112,34.96608493120657,notification,0.11762047462328228,distracted
113,1.2834224634349771,habit,0.3062330063355929,intentional
114,9.969714795494198,habit,0.1381274083217181,intentional
115,2.973073929106954,notification,0.09593827094277385,distracted
116,13.553791705969127,boredom,0.11991633862868707,forced
117,4.912633823235378,social,0.19207183039627168,intentional
118,0.1821792633692914,boredom,0.5315398236648073,intentional
119,11.39376794070802,social,0.5548693337376716,distracted
120,13.664595550618278,habit,0.41963259142134524,intentional
121,12.056905988820333,notification,0.12601248893416656,forced
122,0.2561224968936403,notification,0.42777800991527065,intentional
123,3.326908052873345,notification,0.48633283065406313,distracted
124,2.859888774462482,notification,0.17592552453910115,forced
125,3.242298281810652,notification,0.332043995772527,intentional
126,6.638557811810108,social,0.10050494949661545,intentional
127,1.8058319197858512,notification,0.1405748302628195,intentional
128,1.5021847561539832,boredom,0.25793905663388467,distracted
129,6.34266193456597,notification,0.10911770316255094,intentional
130,0.652342947016275,notification,0.4449121402616257,intentional
131,1.51905130241289,boredom,0.3265351675784939,intentional
132,7.473538364371753,notification,0.44168558881272957,intentional
133,9.63229964363458,boredom,0.21856827961717284,intentional
134,1.4163230589981872,habit,0.4418749499332003,distracted
135,2.099583289289982,notification,0.3833663593565083,intentional
136,0.8341136578769802,habit,0.5511157260518856,distracted
137,0.4923634179462893,social,0.170938891466898,intentional
138,2.271076997633522,social,0.5677467668751925,forced
139,1.501853186396954,notification,0.5320023212617664,intentional
140,1.3690995867738385,boredom,0.17847749080798153,intentional
141,5.333954983717447,notification,0.30519715997350466,distracted
142,0.671422538278126,social,0.40376529735495703,distracted
143,0.6971450306125357,news_check,0.6314283512320291,distracted
144,26.10480032649207,boredom,0.14086788327414676,intentional
145,4.801982261331115,notification,0.040513016074624965,distracted
146,0.9131530749645079,habit,0.6827310698762957,intentional
147,0.127934319636698,social,0.06495746602343593,forced
148,0.7586433904477885,notification,0.11580770655704625,distracted
149,2.9761462031124424,habit,0.1057254935195477,distracted
150,7.984189716983686,notification,0.08609970527288174,forced
151,120.0,boredom,0.1579666465269733,intentional
152,1.9019811727238527,boredom,0.05088388761162424,distracted
153,2.809023204067893,notification,0.25710640978959526,forced
154,12.3107105546243,notification,0.16287126234188812,forced
155,0.5119622207634879,social,0.07589566967524827,distracted
156,0.24850035426994885,habit,0.41084641530505495,forced
157,1.6504441827952128,habit,0.24847118598049572,intentional
158,1.0861910391504075,social,0.1629821950133096,intentional
159,2.1367348919218663,boredom,0.30947401392426516,distracted
160,7.102218417718925,boredom,0.18779633459605177,intentional
161,1.0502936426713883,habit,0.22741987525942295,forced
162,2.7132025252424747,social,0.09603398427564845,forced
163,5.237109447177541,social,0.4562931969109777,distracted
164,0.709061125330992,notification,0.2768270156105411,intentional
165,2.642346248986837,news_check,0.2550998208517151,intentional
166,2.9280323375932595,notification,0.48259257839984426,intentional
167,34.38586531565565,habit,0.21207935716352172,forced
168,0.30001389005296697,habit,0.15354222055684558,intentional
169,2.941213962615378,notification,0.39194713306127205,intentional
170,1.2984410770520596,news_check,0.2313586750698365,distracted
171,3.715360998739707,notification,0.2663950141253954,forced
172,0.40227509783438015,habit,0.31033513549301817,intentional
173,1.085813436828835,habit,0.25699074087075313,intentional
174,0.6719481924369701,social,0.25028067052958874,forced
175,58.01072143706183,habit,0.3430554145101709,distracted
176,4.933371441762765,notification,0.38696863719183516,intentional
177,4.637695365372003,notification,0.2243383910502286,forced
178,3.4480579386512424,boredom,0.07631958068286558,distracted
179,0.5668788685175702,notification,0.34803693465097546,forced
180,59.55728387831156,news_check,0.48766978414331136,forced
181,0.645032669304767,notification,0.5240938800018834,intentional
182,1.576422470783178,notification,0.24188494244710537,distracted
183,1.1269883913657803,boredom,0.06892986101280833,distracted
184,7.520792472575108,boredom,0.48401544213752135,distracted
185,7.937852764398915,habit,0.45599255388035853,intentional
186,53.035635450968776,boredom,0.12856590804054355,intentional
187,0.3160632277332051,boredom,0.3039503071987225,intentional
188,0.144128653231388,boredom,0.14885159768822467,distracted
189,1.8052636051565187,social,0.21794781729753943,intentional
190,1.2245548109666318,news_check,0.15899211013053804,forced
191,1.0252699331123791,boredom,0.12893458097403107,intentional
192,0.1453332190064647,notification,0.15502359406038518,distracted
193,14.442269754645917,social,0.25865728554764505,distracted
194,12.13672316414517,boredom,0.46497621318328913,intentional
195,1.393810130247086,notification,0.2308694583290349,distracted
196,46.463304499984226,boredom,0.3511505661059002,intentional
197,20.008307645526788,notification,0.1975159996211134,forced
198,1.3867450063981483,notification,0.19853962695928842,distracted
199,2.3026690403821735,notification,0.4027083032028121,distracted
200,23.220156122196155,social,0.3291712788119282,distracted
201,0.7159752064546514,habit,0.568371998639072,distracted
202,4.436133378298797,habit,0.4118791234090123,forced
203,1.9153055547793203,boredom,0.2872426774623162,distracted
204,0.5057646542131526,habit,0.03300627442309223,distracted
205,2.5345797841698277,habit,0.29326686421271764,distracted
206,3.129546618127273,habit,0.3374996158484717,distracted
207,1.0138588313354684,notification,0.11977276057853173,intentional
208,0.8945163282831139,notification,0.32953241689426505,distracted
209,3.377689686812857,boredom,0.5829326983299149,distracted
210,1.0913285554840357,habit,0.4632224754143846,distracted
211,1.0938682351089728,social,0.04229067882060565,intentional
212,1.4551001298624144,notification,0.17731238337798294,distracted
213,3.0927250450684522,news_check,0.19492660442051624,distracted
214,3.5514399925579236,notification,0.3244450871064403,forced
215,2.4769330815714774,notification,0.09190292872085565,distracted
216,3.231671616765131,habit,0.11041555273803472,distracted
217,31.00164207969181,habit,0.2810561825150461,intentional
218,7.543223893958602,notification,0.10929460011572065,intentional
219,0.31056854650854154,notification,0.3050547731356794,forced
220,0.3879522657843276,news_check,0.4632943285654365,distracted
221,1.2810031090845084,boredom,0.7515901588669643,intentional
222,9.320499795217353,social,0.4674234241013322,intentional
223,12.449743701728886,boredom,0.3000517866130595,intentional
224,9.164317779252597,notification,0.16287139073295814,distracted
225,0.19830361785492823,notification,0.5146367322803878,forced
226,3.19072563937067,habit,0.24925088711382606,distracted
227,0.21221716719096112,habit,0.32561558922252176,intentional
228,0.20815381512328282,boredom,0.28255668749477086,distracted
229,7.537644453698896,boredom,0.15695004492504566,forced
230,3.2092148320481213,notification,0.2946967355556395,intentional
231,3.682147851445356,notification,0.28896045635309464,distracted
232,2.625510484016215,social,0.6338276831438983,intentional
233,61.43688510716899,social,0.41234280966523384,distracted
234,4.600763128356329,notification,0.19946498202505505,distracted
235,1.8762697957740175,boredom,0.01712981582102013,intentional
236,27.418979166569592,boredom,0.04035504880866459,intentional
237,3.9838408220002735,boredom,0.4563169706712103,distracted
